Company_ID,Domain,Founding_Year,Country,City,Funding_Stage,Total_Funding_USD_Millions,Valuation_USD_Millions,Revenue_ARR_Millions,Monthly_Burn_Rate_Millions,Runway_Months_2024,Peak_Headcount_2023,Layoffs_2024_2025,Current_Headcount_2026,Investor_Tier,AI_Adoption_Level,Acquisition_Status
20F10A53,Robotics,2021,USA,Miami,Seed,0.69,13.22,1.32,0.27,1.9,25,13,12,Corporate VC (e.g. Google Ventures),High,Closed
95827726,HealthTech,2018,USA,San Francisco,Series C+,37.26,215.46,25.87,1.97,18.0,107,0,107,Tier 2 (Mid-size VC),Low,Closed
D4F44376,SpaceTech,2016,USA,Miami,Series A,31.99,251.25,17.77,1.46,20.5,139,0,139,Tier 3 (Angel/Seed),Medium,Independent
7AF09981,FinTech,2016,Israel,Jerusalem,Series A,10.09,120.64,6.55,0.47,17.7,34,0,34,Corporate VC (e.g. Google Ventures),None,Independent
3CB19F2F,EdTech,2018,USA,Austin,Seed,0.78,9.98,0.54,0.68,1.0,41,0,41,Tier 2 (Mid-size VC),Medium,Independent
34174AD0,HealthTech,2023,USA,New York,Series A,8.52,84.55,7.96,0.79,9.6,54,33,21,"Tier 1 (e.g. Sequoia, a16z)",High,Acquired (Fire Sale)
8114C34B,Generative AI,2012,USA,Seattle,Series A,0.0,42.87,1.93,0.57,0.0,31,0,31,Bootstrapped,Medium,Independent
600B2541,FinTech,2021,USA,New York,Series C+,43.1,188.15,7.35,3.27,12.8,193,42,151,Tier 2 (Mid-size VC),High,Independent
50B891B3,HealthTech,2019,China,Shanghai,Series B,14.13,66.45,4.08,0.54,22.1,40,0,40,Tier 3 (Angel/Seed),Medium,Closed
B021A832,Robotics,2016,India,Delhi NCR,Seed,2.09,35.76,1.43,0.78,2.4,49,0,49,Tier 3 (Angel/Seed),High,Independent
DD1B6383,HealthTech,2017,USA,Austin,Series A,3.94,28.79,2.66,0.23,11.9,20,8,12,Corporate VC (e.g. Google Ventures),High,Independent
93603F31,Robotics,2014,UK,Cambridge,Series B,39.24,431.72,27.14,1.69,21.9,150,0,150,"Tier 1 (e.g. Sequoia, a16z)",High,Acquired
3825BC5B,Cybersecurity,2015,Japan,Kyoto,Series A,23.87,285.4,11.62,0.77,27.4,52,0,52,Tier 3 (Angel/Seed),Medium,Independent
C3254A34,FinTech,2022,USA,Austin,Series B,41.02,266.55,26.16,3.0,13.2,186,61,125,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
B0A5F598,Robotics,2020,India,Bengaluru,Pre-IPO,142.26,812.66,66.05,4.26,32.6,276,0,276,"Tier 1 (e.g. Sequoia, a16z)",None,Independent
A2A2F86A,SpaceTech,2017,Germany,Munich,Seed,4.75,34.1,1.27,0.37,10.1,24,0,24,Tier 2 (Mid-size VC),Low,Acquired
7F31FBC5,Autonomous Vehicles,2018,Canada,Montreal,Pre-IPO,0.0,3.29,0.61,0.13,0.0,7,0,7,Bootstrapped,Low,Independent
082B8E2E,Robotics,2023,USA,Miami,Seed,0.4,11.14,0.57,0.48,0.7,39,14,25,Tier 3 (Angel/Seed),High,Acquired
9D883BF7,Cybersecurity,2020,USA,Boston,Series C+,35.72,322.93,50.69,2.16,15.8,165,41,124,Tier 3 (Angel/Seed),High,Independent
8E066A5E,Generative AI,2015,USA,San Francisco,Seed,4.48,24.1,1.16,0.49,7.6,25,0,25,"Tier 1 (e.g. Sequoia, a16z)",Medium,Closed
DFF8AA67,Robotics,2016,Japan,Kyoto,Series B,9.83,106.89,4.88,0.79,11.0,59,27,32,Tier 3 (Angel/Seed),Medium,Independent
6CFCBA63,Robotics,2020,China,Shenzhen,Series C+,44.01,423.6,14.75,3.29,13.0,315,0,315,Corporate VC (e.g. Google Ventures),High,Independent
1D742582,ClimateTech,2015,USA,Austin,Series A,2.69,41.64,1.56,0.2,9.0,11,0,11,Tier 3 (Angel/Seed),Low,Independent
E9401FCE,FinTech,2012,USA,Miami,Series B,74.77,415.78,20.06,3.58,20.3,190,0,190,Tier 2 (Mid-size VC),Medium,Acquired
01D01DF1,Generative AI,2019,USA,Boston,Seed,0.0,18.91,1.03,0.49,0.0,35,0,35,Bootstrapped,High,Independent
B283328A,Generative AI,2022,USA,San Francisco,Series C+,147.04,1316.03,104.25,12.61,11.6,640,210,430,Tier 2 (Mid-size VC),Medium,Independent
D196848D,Generative AI,2013,Israel,Jerusalem,Series A,17.67,171.15,8.49,0.83,19.0,63,0,63,Tier 3 (Angel/Seed),None,Closed
86A3273D,ClimateTech,2019,China,Shanghai,Seed,0.59,9.75,0.87,0.11,2.8,10,5,5,Tier 3 (Angel/Seed),High,Acquired
783CDEFB,EdTech,2019,China,Shanghai,Series B,25.79,197.91,6.64,2.62,9.5,137,86,51,Tier 3 (Angel/Seed),Low,Acquired (Fire Sale)
04640A80,Robotics,2020,USA,Austin,Series B,0.0,49.01,8.3,0.28,0.0,17,8,9,Bootstrapped,Medium,Independent
6B930B25,HealthTech,2023,Canada,Vancouver,Series A,15.7,134.73,5.63,0.39,32.0,27,0,27,Corporate VC (e.g. Google Ventures),Medium,Independent
C38AB0E4,HealthTech,2019,UK,Oxford,Series A,0.0,49.86,6.38,0.33,0.0,32,15,17,Bootstrapped,High,Closed
45B14C2C,EdTech,2021,India,Mumbai,Seed,0.79,18.32,0.77,0.38,1.6,21,0,21,Tier 3 (Angel/Seed),High,Independent
600001AE,EdTech,2024,UK,London,Series B,14.08,174.25,8.52,0.88,14.4,47,17,30,Tier 3 (Angel/Seed),Medium,Acquired
E105455D,ClimateTech,2018,USA,San Francisco,Series A,1.57,15.08,0.55,0.6,2.2,33,0,33,Tier 2 (Mid-size VC),None,Independent
FCED2865,Cybersecurity,2018,USA,Miami,Seed,0.48,18.46,2.02,0.17,1.8,16,0,16,Tier 3 (Angel/Seed),Medium,Acquired
66F3162E,Autonomous Vehicles,2018,India,Bengaluru,Series A,9.55,120.36,10.26,0.47,16.8,32,10,22,Corporate VC (e.g. Google Ventures),Low,Independent
1BB8E74E,Web3/Crypto,2015,USA,Miami,Series B,37.46,222.97,7.74,3.39,10.7,229,146,83,Tier 2 (Mid-size VC),High,Closed
DB82F9D7,FinTech,2019,USA,Austin,Seed,0.31,10.24,0.57,0.13,1.3,9,0,9,Tier 3 (Angel/Seed),Medium,Independent
AD662405,Autonomous Vehicles,2018,China,Shenzhen,Series C+,40.61,207.68,15.14,2.55,15.3,157,0,157,Corporate VC (e.g. Google Ventures),High,Independent
AC8BFA2B,Robotics,2020,Germany,Berlin,Seed,0.75,15.75,0.62,0.55,1.2,30,0,30,Tier 2 (Mid-size VC),High,Closed
F566A3A4,SpaceTech,2012,Japan,Tokyo,Series A,33.5,151.23,13.58,4.21,7.8,228,0,228,Corporate VC (e.g. Google Ventures),High,Independent
1D25CF59,HealthTech,2020,India,Bengaluru,Series A,5.58,35.85,1.88,0.51,9.1,38,0,38,Tier 2 (Mid-size VC),High,Independent
7D5BD487,Cybersecurity,2014,China,Shenzhen,Series A,8.12,110.85,4.18,0.43,15.3,40,0,40,Tier 2 (Mid-size VC),Low,Independent
BCAE9A51,Cybersecurity,2020,USA,Miami,Pre-IPO,40.87,283.07,21.67,2.11,18.5,190,36,154,Corporate VC (e.g. Google Ventures),Medium,Independent
031CF579,SpaceTech,2020,Israel,Tel Aviv,Series A,12.0,135.95,5.44,0.31,29.3,21,0,21,Tier 2 (Mid-size VC),Medium,Acquired
01269290,HealthTech,2020,China,Beijing,Series B,20.23,233.78,9.57,1.29,14.6,107,0,107,Tier 3 (Angel/Seed),Medium,Independent
6393D8C7,Web3/Crypto,2022,USA,San Francisco,Series C+,235.46,1204.8,122.71,10.9,21.4,740,397,343,Corporate VC (e.g. Google Ventures),Medium,Acquired (Fire Sale)
DFCBF21D,HealthTech,2019,USA,New York,Seed,0.44,13.57,0.92,0.23,1.3,12,4,8,Tier 3 (Angel/Seed),High,Independent
78BD2847,Web3/Crypto,2019,Canada,Vancouver,Seed,0.97,19.85,1.0,0.66,1.3,51,50,1,Tier 3 (Angel/Seed),Medium,Closed
9893B80B,HealthTech,2021,Germany,Berlin,Seed,0.65,10.56,0.93,0.68,0.8,48,14,34,Tier 3 (Angel/Seed),High,Independent
1CD2F09D,Generative AI,2020,USA,New York,Pre-IPO,422.82,4466.74,420.25,40.65,10.4,2087,0,2087,Tier 3 (Angel/Seed),High,Closed
5F533FFD,Robotics,2021,India,Hyderabad,Series A,2.55,44.62,2.51,0.62,3.5,32,16,16,Tier 3 (Angel/Seed),None,Closed
2FCFD172,Cybersecurity,2018,China,Beijing,Seed,3.73,30.08,4.1,0.67,4.8,46,21,25,Corporate VC (e.g. Google Ventures),Medium,Independent
A5AE8733,Cybersecurity,2020,USA,Miami,Series A,8.66,110.59,7.35,0.28,22.8,25,0,25,Tier 2 (Mid-size VC),High,Independent
8363FFA6,Generative AI,2019,China,Hangzhou,Series A,3.82,48.27,3.09,0.23,11.6,17,0,17,Tier 2 (Mid-size VC),Low,Independent
5CCBE12F,HealthTech,2020,USA,Austin,Series C+,57.69,536.39,86.01,5.73,9.9,375,166,209,Tier 2 (Mid-size VC),High,Independent
1199DAA0,Robotics,2019,USA,Miami,Seed,4.7,68.02,3.98,0.64,6.4,36,0,36,Corporate VC (e.g. Google Ventures),Medium,Independent
B15CA818,Robotics,2020,Singapore,Singapore,Series B,30.0,107.68,4.35,1.8,15.8,162,0,162,Tier 2 (Mid-size VC),None,Independent
9A6BC92F,FinTech,2020,India,Delhi NCR,Series B,8.51,81.24,8.51,0.63,11.7,32,0,32,Tier 3 (Angel/Seed),Medium,Closed
2A601C55,EdTech,2023,Germany,Berlin,Series C+,0.0,17.93,2.3,0.97,0.0,49,0,49,Bootstrapped,High,Independent
0658C19E,Cybersecurity,2020,USA,Miami,Series A,0.0,23.69,3.52,0.32,0.0,21,10,11,Bootstrapped,Low,Closed
03AC2BE7,HealthTech,2020,USA,Boston,Seed,1.1,25.45,0.92,0.19,3.8,14,5,9,Tier 2 (Mid-size VC),High,Independent
682BABC9,ClimateTech,2016,China,Shanghai,Series A,3.57,38.89,2.55,0.52,5.8,36,18,18,Corporate VC (e.g. Google Ventures),Medium,Acquired
659311A3,HealthTech,2018,China,Shenzhen,Seed,1.6,29.24,1.28,0.46,2.9,40,0,40,Tier 3 (Angel/Seed),High,Closed
BBD27A4B,Web3/Crypto,2021,China,Shanghai,Seed,7.0,74.84,6.53,0.75,8.2,40,33,7,Tier 2 (Mid-size VC),None,Acquired (Fire Sale)
64D47824,Generative AI,2019,USA,Austin,Series A,5.27,52.11,1.76,0.58,7.8,42,0,42,"Tier 1 (e.g. Sequoia, a16z)",High,Acquired
6124D39D,Robotics,2023,China,Shanghai,Series B,13.49,95.2,3.24,1.06,11.6,75,0,75,Tier 2 (Mid-size VC),High,Independent
9D5246CF,Robotics,2015,Canada,Toronto,Seed,1.16,24.96,3.49,0.12,5.3,9,0,9,Tier 3 (Angel/Seed),High,IPO
541BAB0A,Generative AI,2014,Germany,Berlin,Series C+,78.02,461.63,16.62,3.53,21.5,305,0,305,Tier 2 (Mid-size VC),High,IPO
16EB9E01,ClimateTech,2020,USA,New York,Series B,41.86,292.62,14.1,1.09,35.2,80,0,80,Tier 3 (Angel/Seed),Medium,Independent
F87E3813,Robotics,2018,USA,Miami,Series B,42.37,238.26,43.79,2.78,14.7,178,0,178,Tier 2 (Mid-size VC),Low,Independent
BA43B6F7,Robotics,2020,USA,San Francisco,Series B,14.02,90.93,4.23,1.11,11.6,63,26,37,Tier 2 (Mid-size VC),High,Independent
FBE7DC51,EdTech,2021,Germany,Berlin,Post-IPO,206.08,1103.31,41.14,13.89,14.7,861,172,689,Tier 2 (Mid-size VC),Low,Independent
0492E8B4,Web3/Crypto,2020,India,Delhi NCR,Series C+,28.47,329.32,43.22,1.48,18.0,98,57,41,Tier 3 (Angel/Seed),Medium,Closed
55A01D6E,FinTech,2021,USA,Austin,Series B,16.49,109.81,3.76,0.72,20.1,47,0,47,Tier 3 (Angel/Seed),None,Independent
2965ED3E,HealthTech,2021,USA,New York,Seed,3.93,49.88,5.5,0.51,6.4,38,0,38,"Tier 1 (e.g. Sequoia, a16z)",Low,Acquired
7523BDFB,FinTech,2019,China,Beijing,Seed,1.51,26.07,2.38,0.24,4.4,22,0,22,Tier 3 (Angel/Seed),Low,Independent
F75F541C,Robotics,2018,France,Paris,Seed,2.12,33.03,1.29,0.34,4.8,24,0,24,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent
700C663E,Generative AI,2019,Israel,Jerusalem,Series A,29.81,296.49,20.39,4.03,7.2,215,0,215,Tier 2 (Mid-size VC),None,Acquired
47B2ACDC,HealthTech,2024,UK,Cambridge,Series A,6.01,78.04,14.79,0.49,10.2,30,0,30,Tier 3 (Angel/Seed),High,Closed
9887C0F8,ClimateTech,2012,USA,Boston,Series A,5.85,53.98,3.63,0.25,16.7,21,0,21,Tier 2 (Mid-size VC),None,Closed
51CBACD2,FinTech,2018,France,Paris,Series C+,30.86,211.71,11.66,2.62,11.3,138,87,51,Tier 3 (Angel/Seed),Medium,Closed
B474A712,Robotics,2020,China,Beijing,Series A,8.11,63.98,3.97,1.24,6.1,67,0,67,Tier 2 (Mid-size VC),High,Independent
360451F0,Cybersecurity,2014,Germany,Munich,Seed,1.86,23.25,1.26,0.48,3.2,34,12,22,Corporate VC (e.g. Google Ventures),Medium,Acquired
D573DACF,Cybersecurity,2022,Israel,Jerusalem,Seed,0.88,18.95,0.63,0.62,1.2,34,16,18,Tier 3 (Angel/Seed),Medium,Independent
9AF45D97,ClimateTech,2020,USA,Seattle,Series B,14.91,79.39,3.8,0.56,22.6,44,0,44,Corporate VC (e.g. Google Ventures),Medium,Independent
71101449,EdTech,2019,India,Delhi NCR,Seed,0.0,32.42,1.11,0.8,0.0,40,0,40,Bootstrapped,Medium,Closed
653439B2,HealthTech,2012,China,Shenzhen,Series A,7.25,77.88,14.38,0.82,7.9,63,27,36,Corporate VC (e.g. Google Ventures),High,Closed
74783F32,Generative AI,2022,UK,London,Series A,26.2,273.58,22.57,1.25,19.4,104,0,104,Corporate VC (e.g. Google Ventures),High,Independent
81103E5A,Generative AI,2019,India,Bengaluru,Series C+,106.7,1095.6,56.4,3.74,27.8,260,0,260,Tier 3 (Angel/Seed),High,Independent
C81AE8C5,Generative AI,2020,Germany,Munich,Seed,4.55,46.26,1.97,0.51,7.5,36,0,36,Tier 2 (Mid-size VC),Medium,Independent
5E54079E,Web3/Crypto,2020,France,Lyon,Series A,34.99,351.27,14.62,1.78,18.6,116,0,116,"Tier 1 (e.g. Sequoia, a16z)",None,IPO
7424F4B5,HealthTech,2021,China,Shenzhen,Series C+,94.66,554.14,34.13,6.58,14.2,448,147,301,Tier 3 (Angel/Seed),Medium,Closed
F2839598,Web3/Crypto,2019,Israel,Jerusalem,Series C+,124.03,785.92,89.44,8.46,14.5,470,207,263,Corporate VC (e.g. Google Ventures),High,Independent
49EF124C,HealthTech,2018,USA,San Francisco,Post-IPO,316.15,2917.06,347.71,11.15,28.1,747,0,747,Tier 2 (Mid-size VC),Medium,Independent
8CC72B9C,Generative AI,2018,Israel,Tel Aviv,Seed,1.78,39.64,2.25,0.39,3.6,23,0,23,Tier 2 (Mid-size VC),High,Closed
